player,club,owners,captains,triple_captains,gw_points,total_points,owned_by_me
Haaland,MCI,14,10,0,6,144,true
Calafiori,ARS,11,0,0,1,10,true
João Pedro,CHE,11,0,0,0,0,true
Rogers,CHE,10,0,0,2,20,true
De Cuyper,BHA,8,0,0,6,18,true
Raya,ARS,8,0,0,1,8,false
B.Fernandes,MUN,7,3,0,2,20,true
Gvardiol,MCI,7,0,0,4,28,true
Szoboszlai,LIV,7,0,0,2,12,false
Verbruggen,BHA,7,0,0,6,12,true
Groß,BHA,6,0,0,14,70,true
Isak,LIV,6,0,0,8,48,false
Calvert-Lewin,LEE,6,0,0,2,12,false
Wissa,NEW,6,0,0,0,0,true
Gibbs-White,NFO,5,2,0,2,14,false
N.Williams,NFO,5,0,0,2,10,false
Dubravka,TOT,5,0,0,0,0,true
Cherki,MCI,4,1,0,8,40,true
Bogle,LEE,4,0,0,5,20,true
Palmer,CHE,4,0,0,2,8,false
Gabriel,ARS,4,0,0,1,4,false
Rice,ARS,4,0,0,1,4,false
Hall,NEW,3,0,0,13,39,false
Schade,BRE,3,0,0,9,27,false
Guéhi,MCI,3,0,0,4,12,false
Lammens,MUN,3,0,0,4,8,false
Tavernier,BOU,3,0,0,2,6,false
Tzolis,ARS,3,0,0,2,6,false
Konsa,ARS,3,0,0,1,3,false
Davis,IPS,3,0,0,2,2,false
Kinsky,TOT,3,0,0,2,2,false
Ajayi,HUL,3,0,0,1,1,false
van Ewijk,COV,3,0,0,0,0,false
Ødegaard,ARS,2,1,0,2,6,false
Virgil,LIV,2,0,0,8,16,false
Trafford,LEE,2,0,0,10,10,false
Barnes,NEW,2,0,0,9,9,false
Mainoo,MUN,2,0,0,4,8,false
Mitchell,CRY,2,0,0,7,7,false
Janelt,BRE,2,0,0,3,6,false
Kayode,BRE,2,0,0,6,6,false
Van Hecke,TOT,2,0,0,6,6,false
Wirtz,LIV,2,0,0,6,6,false
Mbeumo,MUN,2,0,0,2,4,false
Muñoz,NFO,2,0,0,2,4,false
Egan,HUL,2,0,0,1,2,false
Scott,BOU,2,0,0,2,2,false
Diop,IPS,2,0,0,4,0,true
Slater,HUL,2,0,0,2,0,false
Semenyo,MCI,1,0,0,17,17,false
Tarkowski,EVE,1,0,0,14,14,false
Cunha,MUN,1,0,0,10,10,false
Pickford,EVE,1,0,0,8,8,false
Ajer,BRE,1,0,0,7,7,false
Barry,EVE,1,0,0,6,6,false
Muharemović,LEE,1,0,0,6,6,false
E.Le Fée,SUN,1,0,0,5,5,false
Murillo,NFO,1,0,0,4,4,false
Gakpo,LIV,1,0,0,3,3,false
Horníček,NEW,1,0,0,3,3,false
Rayan,BOU,1,0,0,2,2,false
Saka,ARS,1,0,0,2,2,false
Sels,NFO,1,0,0,2,2,false
Coyle,HUL,1,0,0,1,1,false
O'Reilly,MCI,1,0,0,1,1,false
Belloumi,HUL,1,0,0,4,0,false
Brobbey,SUN,1,0,0,17,0,false
Dedić,NEW,1,0,0,0,0,false
Elanga,NEW,1,0,0,0,0,false
Emersonn,IPS,1,0,0,2,0,false
Furo,BRE,1,0,0,0,0,false
Giles,HUL,1,0,0,0,0,false
Gomez,BHA,1,0,0,8,0,false
Havertz,ARS,1,0,0,2,0,false
Hughes,CRY,1,0,0,0,0,true
Hume,SUN,1,0,0,1,0,false
J.Angulo,SUN,1,0,0,0,0,false
J.Timber,ARS,1,0,0,0,0,false
Justin,LEE,1,0,0,8,0,false
King,FUL,1,0,0,2,0,false
Kostoulas,BHA,1,0,0,10,0,false
Martinez,CHE,1,0,0,2,0,false
Mendy,HUL,1,0,0,0,0,false
Munoz,LIV,1,0,0,1,0,false
Roefs,SUN,1,0,0,0,0,false
Thomas,COV,1,0,0,9,0,false
Tzolakis,HUL,1,0,0,6,0,false
Vuskovic,BHA,1,0,0,8,0,false
Walle Egeli,IPS,1,0,0,0,0,false
Yarmoliuk,BRE,1,0,0,3,0,false
