player,club,owners,captains,triple_captains,gw_points,total_points,owned_by_me
João Pedro,CHE,13,3,0,9,144,true
Szoboszlai,LIV,11,0,0,4,44,false
Calafiori,ARS,10,0,0,11,110,true
B.Fernandes,MUN,9,4,0,23,299,true
Haaland,MCI,9,3,0,13,156,true
Raya,ARS,8,0,0,6,42,false
Mbeumo,MUN,7,2,0,11,99,true
Tzolis,ARS,7,0,0,0,0,false
Gabriel,ARS,6,0,0,8,48,false
Calvert-Lewin,LEE,6,0,0,8,16,false
O'Reilly,MCI,6,0,0,2,8,true
Isak,LIV,5,1,0,8,48,false
Lammens,MUN,5,0,0,2,8,false
Verbruggen,BHA,5,0,0,0,0,true
Brobbey,SUN,4,0,0,2,8,true
van Ewijk,COV,4,0,0,2,8,false
Virgil,LIV,4,0,0,1,3,false
Kinsky,TOT,4,0,0,1,1,false
Mitchell,CRY,4,0,0,0,0,false
Cherki,MCI,3,0,0,14,42,true
Palmer,CHE,3,0,0,7,21,false
Gakpo,LIV,3,0,0,5,15,false
Rogers,CHE,3,0,0,5,15,false
Semenyo,MCI,3,0,0,5,15,false
Groß,BHA,3,0,0,13,13,true
Maguire,MUN,3,0,0,4,12,false
Shaw,MUN,3,0,0,2,6,false
Van Hecke,TOT,3,0,0,1,2,false
Dubravka,TOT,3,0,0,0,0,true
Muñoz,NFO,3,0,0,0,0,false
N.Williams,NFO,3,0,0,6,0,false
M.Sangaré,BRE,2,1,0,4,12,false
Elanga,NEW,2,0,0,8,16,false
Hume,SUN,2,0,0,6,12,false
Rice,ARS,2,0,0,5,10,false
Davis,IPS,2,0,0,6,6,false
E.Le Fée,SUN,2,0,0,3,6,false
Roefs,SUN,2,0,0,6,6,false
Xhaka,SUN,2,0,0,6,6,false
Guéhi,MCI,2,0,0,2,4,false
Kayode,BRE,2,0,0,2,4,false
Tonali,TOT,2,0,0,2,2,false
Rodon,LEE,2,0,0,1,1,false
Cash,AVL,2,0,0,2,0,false
De Cuyper,BHA,2,0,0,0,0,true
Palestra,CHE,2,0,0,0,0,false
Trafford,LEE,2,0,0,3,0,false
Watkins,AVL,2,0,0,0,0,false
Ødegaard,ARS,1,1,0,3,6,false
Havertz,ARS,1,1,0,2,4,false
Saka,ARS,1,0,0,11,11,false
Tzolakis,HUL,1,0,0,10,10,false
Cunha,MUN,1,0,0,9,9,false
Egan,HUL,1,0,0,9,9,false
Wissa,NEW,1,0,0,8,8,false
Belloumi,HUL,1,0,0,6,6,false
Gomez,BHA,1,0,0,5,5,false
Gvardiol,MCI,1,0,0,5,5,false
Tielemans,MUN,1,0,0,4,4,false
Truffert,BOU,1,0,0,4,4,false
Wirtz,LIV,1,0,0,4,4,false
Ajer,BRE,1,0,0,3,3,false
Barnes,NEW,1,0,0,3,3,false
Bogle,LEE,1,0,0,2,2,true
Iwobi,FUL,1,0,0,2,2,false
Thiago,BRE,1,0,0,2,2,false
Beto,EVE,1,0,0,1,1,false
Janelt,BRE,1,0,0,1,1,false
Konsa,ARS,1,0,0,1,1,false
Lacroix,CHE,1,0,0,1,1,false
Yarmoliuk,BRE,1,0,0,1,1,false
Aina,NFO,1,0,0,0,0,false
Amad,MUN,1,0,0,0,0,false
Barry,EVE,1,0,0,2,0,false
Delap,NFO,1,0,0,1,0,false
Diop,IPS,1,0,0,2,0,true
F.Kadıoğlu,BHA,1,0,0,0,0,false
Hughes,CRY,1,0,0,0,0,true
Kelleher,BRE,1,0,0,2,0,false
Martinez,CHE,1,0,0,2,0,false
Mateta,CRY,1,0,0,0,0,false
McNair,HUL,1,0,0,0,0,false
O.Richards,NFO,1,0,0,0,0,false
Onyeka,COV,1,0,0,0,0,false
Rayan,BOU,1,0,0,2,0,false
Senesi,TOT,1,0,0,0,0,false
Sessegnon,FUL,1,0,0,1,0,false
Shahar,NEW,1,0,0,0,0,false
Wilson,LEE,1,0,0,1,0,false
Woltemade,NEW,1,0,0,4,0,false
Wood,NFO,1,0,0,0,0,false
