player,club,owners,captains,triple_captains,gw_points,total_points,owned_by_me
Calafiori,ARS,13,0,0,0,0,true
Haaland,MCI,12,12,4,9,252,true
B.Fernandes,MUN,11,2,0,0,0,true
Cherki,MCI,11,1,0,3,36,true
João Pedro,CHE,11,0,0,0,0,true
Szoboszlai,LIV,9,1,0,3,30,true
Raya,ARS,7,0,0,0,0,false
Isak,LIV,6,0,0,13,78,false
De Cuyper,BHA,6,0,0,4,24,true
Verbruggen,BHA,5,0,0,3,9,true
Wissa,NEW,5,0,0,1,5,true
Groß,BHA,4,0,0,1,4,true
Kayode,BRE,4,0,0,1,4,false
Calvert-Lewin,LEE,4,0,0,1,3,false
Ajayi,HUL,4,0,0,1,2,false
Egan,HUL,4,0,0,1,2,false
Semenyo,MCI,3,0,0,6,18,false
Virgil,LIV,3,0,0,6,18,false
Mitchell,CRY,3,0,0,15,15,false
N.Williams,NFO,3,0,0,6,12,false
Kelleher,BRE,3,0,0,2,4,false
Elanga,NEW,3,0,0,1,3,false
Brobbey,SUN,3,0,0,2,2,false
Dubravka,TOT,3,0,0,0,0,true
Lammens,MUN,3,0,0,0,0,false
Mbeumo,MUN,3,0,0,0,0,false
O'Reilly,MCI,3,0,0,0,0,true
van Ewijk,COV,3,0,0,3,0,false
Guéhi,MCI,2,0,0,7,14,false
Gakpo,LIV,2,0,0,11,11,false
Wirtz,LIV,2,0,0,3,6,false
Ajer,BRE,2,0,0,2,4,false
Trafford,LEE,2,0,0,3,3,false
F.Kadıoğlu,BHA,2,0,0,2,2,false
Foden,MCI,2,0,0,1,2,false
Gomez,BHA,2,0,0,2,2,false
Roefs,SUN,2,0,0,2,2,false
Yalcouyé,BHA,2,0,0,2,2,false
Davis,IPS,2,0,0,1,1,false
Cash,AVL,2,0,0,1,0,false
Cunha,MUN,2,0,0,0,0,false
Gabriel,ARS,2,0,0,0,0,false
Kinsky,TOT,2,0,0,6,0,false
Konsa,ARS,2,0,0,0,0,false
M.Sangaré,BRE,2,0,0,0,0,false
Maguire,MUN,2,0,0,0,0,false
Muñoz,NFO,2,0,0,1,0,false
Rice,ARS,2,0,0,0,0,false
Shaw,MUN,2,0,0,0,0,false
Tzolis,ARS,2,0,0,0,0,false
Bogle,LEE,1,0,0,14,14,true
Barnes,NEW,1,0,0,12,12,false
Janelt,BRE,1,0,0,9,9,false
E.Le Fée,SUN,1,0,0,8,8,false
Gvardiol,MCI,1,0,0,8,8,false
Hall,NEW,1,0,0,4,4,false
Gibbs-White,NFO,1,0,0,3,3,false
Munoz,LIV,1,0,0,3,3,false
O'Shea,IPS,1,0,0,3,3,false
Xhaka,SUN,1,0,0,3,3,false
Belloumi,HUL,1,0,0,2,2,false
Henderson,CRY,1,0,0,2,2,false
Schade,BRE,1,0,0,2,2,false
Dedić,NEW,1,0,0,1,1,false
Fernandez-Pardo,NEW,1,0,0,1,1,false
Hume,SUN,1,0,0,1,1,false
Tzolakis,HUL,1,0,0,1,1,false
Akpom,IPS,1,0,0,0,0,false
Diop,IPS,1,0,0,3,0,true
Furo,BRE,1,0,0,0,0,false
Grealish,EVE,1,0,0,0,0,false
Hughes,CRY,1,0,0,1,0,true
J.Angulo,SUN,1,0,0,0,0,false
Lacroix,CHE,1,0,0,0,0,false
Leno,FUL,1,0,0,1,0,false
Marmoush,TOT,1,0,0,2,0,false
Martinez,CHE,1,0,0,0,0,false
McBurnie,HUL,1,0,0,1,0,false
McNair,HUL,1,0,0,0,0,false
Onyeka,COV,1,0,0,2,0,false
Palmer,IPS,1,0,0,0,0,false
Palmer,CHE,1,0,0,0,0,false
Rayan,BOU,1,0,0,2,0,false
Reed,FUL,1,0,0,0,0,false
Robinson,FUL,1,0,0,1,0,false
Rodon,LEE,1,0,0,0,0,false
Rogers,CHE,1,0,0,0,0,false
Sessegnon,FUL,1,0,0,1,0,false
Tielemans,MUN,1,0,0,0,0,false
Tonali,TOT,1,0,0,5,0,false
Van Hecke,TOT,1,0,0,8,0,false
Vuskovic,BHA,1,0,0,12,0,false
Watkins,AVL,1,0,0,0,0,false
Wilson,LEE,1,0,0,0,0,false
