player,club,top100_owners,top100_captains,event_points,owned_by_me
Doku,MCI,1,0,0,false
Dominguez,NFO,1,0,0,false
Enciso,IPS,1,0,0,false
Garnacho,AVL,1,0,0,false
Hirst,IPS,1,0,0,false
Horníček,NEW,1,0,0,false
I.Sangaré,NFO,1,0,0,false
Isidor,SUN,1,0,0,false
Iwobi,FUL,1,0,0,false
J.Ramsey,NEW,1,0,0,false
Kesler-Hayden,COV,1,0,0,false
Khusanov,MCI,1,0,0,false
Kitching,COV,1,0,0,false
Kluivert,BOU,1,0,0,false
Lecomte,FUL,1,0,0,false
Longstaff,LEE,1,0,0,false
Maddison,TOT,1,0,0,false
Mazraoui,MUN,1,0,0,false
McAteer,IPS,1,0,0,false
Meunier,SUN,1,0,0,false
Milenković,NFO,1,0,0,false
Moore,TOT,1,0,0,false
Muharemović,LEE,1,0,0,false
Ngumoha,LIV,1,0,0,false
O.Dango,BRE,1,0,0,false
Olusesi,TOT,1,0,0,false
Ömür,HUL,1,0,0,false
O'Shea,IPS,1,0,0,false
Osula,NEW,1,0,0,false
Ouattara,IPS,1,0,0,false
P.M.Sarr,TOT,1,0,0,false
Ramsay,LIV,1,0,0,false
Rodon,LEE,1,0,0,false
Röhl,EVE,1,0,0,false
Sanchez,BOU,1,0,0,false
Savinho,MCI,1,0,0,false
Schade,BRE,1,0,0,false
Schär,NEW,1,0,0,false
Scherpen,IPS,1,0,0,false
Scott,BOU,1,0,0,false
Tielemans,MUN,1,0,0,false
Tzolakis,HUL,1,0,0,false
Udogie,TOT,1,0,0,false
Valdimarsson,BRE,1,0,0,false
Vuskovic,BHA,1,0,0,false
Welbeck,CHE,1,0,0,false
Wissa,NEW,1,0,0,false
Yoro,MUN,1,0,0,false
